Year,City,Event
1984,Los Angeles,CyclingRoadRaceIndividual
1980,Moskva,HandballHandball
1992,Barcelona,Athletics5000metres
1992,Barcelona,Athletics10000metres
1992,Barcelona,CyclingRoadRaceIndividual
1992,Barcelona,Cycling100kilometresTeamTimeTrial
1988,Seoul,BoxingFlyweight
2012,London,FencingSabreIndividual
2016,Rio de Janeiro,FencingSabreIndividual
1924,Paris,FootballFootball
1972,Munich,VolleyballVolleyball
1976,Montreal,VolleyballVolleyball
2004,Athina,RhythmicGymnasticsGroup
1928,Amsterdam,ArtCompetitionsMixedArchitectureDesignsForTownPlanning
1928,Amsterdam,ArtCompetitionsMixedArchitectureArchitecturalDesigns
1924,Chamonix,IceHockeyIceHockey
1952,Oslo,IceHockeyIceHockey
1976,Innsbruck,NordicCombinedIndividual
1980,Lake Placid,NordicCombinedIndividual
1972,Munich,GymnasticsIndividualAllAround
1972,Munich,GymnasticsTeamAllAround
1972,Munich,GymnasticsFloorExercise
1972,Munich,GymnasticsHorseVault
1972,Munich,GymnasticsUnevenBars
1972,Munich,GymnasticsBalanceBeam
2008,Beijing,DivingSpringboard
2012,London,DivingSpringboard
2012,London,DivingSynchronizedSpringboard
2016,Rio de Janeiro,DivingSpringboard
2016,Rio de Janeiro,DivingSynchronizedSpringboard
2008,Beijing,GymnasticsIndividualAllAround
2008,Beijing,GymnasticsTeamAllAround
2008,Beijing,GymnasticsFloorExercise
2008,Beijing,GymnasticsUnevenBars
2008,Beijing,GymnasticsBalanceBeam
2000,Sydney,Athletics10000metres
1924,Paris,ShootingSmallBoreRifleProne50metres
1948,London,ShootingSmallBoreRifleProne50metres
1952,Helsinki,ShootingSmallBoreRifleThreePositions50metres
1952,Helsinki,ShootingSmallBoreRifleProne50metres
1920,Antwerpen,SailingMixed7metres
2012,London,JudoHalfMiddleweight
2008,Beijing,AthleticsDecathlon
2016,Rio de Janeiro,AthleticsDecathlon
1960,Roma,GymnasticsIndividualAllAround
1960,Roma,GymnasticsFloorExercise
1960,Roma,GymnasticsHorseVault
1960,Roma,GymnasticsUnevenBars
1960,Roma,GymnasticsBalanceBeam
1900,Paris,RowingCoxedEights
1904,St. Louis,RowingCoxedEights
1980,Lake Placid,Biathlon10kilometresSprint
1980,Lake Placid,Biathlon20kilometres
1980,Lake Placid,Biathlon4x75kilometresRelay
1996,Atlanta,Athletics4x100metresRelay
2000,Sydney,AthleticsMarathon
2016,Rio de Janeiro,AthleticsMarathon
1968,Mexico City,RowingCoxedFours
1972,Munich,RowingCoxedEights
1976,Montreal,RowingCoxedFours
1912,Stockholm,AthleticsHammerThrow
1992,Albertville,FreestyleSkiingMoguls
1912,Stockholm,AthleticsLongJump
1912,Stockholm,AthleticsTripleJump
1988,Seoul,Swimming50metresFreestyle
1912,Stockholm,WrestlingMiddleweightAGrecoRoman
1948,London,AthleticsDiscusThrow
1952,Helsinki,Athletics1500metres
1988,Calgary,LugeSingles
1992,Albertville,LugeSingles
1994,Lillehammer,LugeSingles
1998,Nagano,LugeSingles
2002,Salt Lake City,LugeSingles
1956,Melbourne,Swimming4x100metresFreestyleRelay
1956,Melbourne,Swimming100metresBackstroke
1952,Oslo,AlpineSkiingSlalom
2004,Athina,Athletics1500metres
2004,Athina,Athletics5000metres
2008,Beijing,Athletics5000metres
2008,Beijing,Athletics10000metres
2000,Sydney,ShootingAirPistol10metres
2000,Sydney,ShootingSportingPistol25metres
2016,Rio de Janeiro,Swimming100metresFreestyle
2016,Rio de Janeiro,BoxingFlyweight
1992,Barcelona,CanoeingKayakDoubles500metres
1996,Atlanta,CanoeingKayakSingles500metres
2008,Beijing,CanoeingKayakSingles500metres
2008,Beijing,CanoeingKayakSingles1000metres
2008,Beijing,BadmintonSingles
2012,London,BadmintonSingles
2016,Rio de Janeiro,BadmintonSingles
1984,Los Angeles,ShootingRunningTarget50metres
1988,Seoul,DivingPlatform
1988,Seoul,FootballFootball
1972,Munich,Athletics800metres
1972,Munich,Athletics1500metres
2008,Beijing,JudoHalfHeavyweight
2008,Beijing,Athletics4x400metresRelay
2012,London,AthleticsPoleVault
2016,Rio de Janeiro,RugbySevensRugbySevens
1976,Montreal,WrestlingMiddleweightFreestyle
1980,Moskva,WrestlingMiddleweightFreestyle
2012,London,FootballFootball
2016,Rio de Janeiro,FootballFootball
2012,London,Athletics4x100metresRelay
2016,Rio de Janeiro,TableTennisTeam
1980,Moskva,BoxingBantamweight
1984,Los Angeles,BoxingBantamweight
1998,Nagano,FigureSkatingMixedPairs
2004,Athina,BoxingLightFlyweight
2016,Rio de Janeiro,WaterPoloWaterPolo
2002,Salt Lake City,FreestyleSkiingAerials
2006,Torino,FreestyleSkiingAerials
2010,Vancouver,FreestyleSkiingAerials
1928,Amsterdam,WaterPoloWaterPolo
1936,Berlin,WaterPoloWaterPolo
1932,Los Angeles,Athletics4x400metresRelay
2012,London,GymnasticsTeamAllAround
2012,London,GymnasticsFloorExercise
2012,London,GymnasticsHorseVault
2012,London,GymnasticsParallelBars
2012,London,GymnasticsHorizontalBar
2012,London,GymnasticsRings
2016,Rio de Janeiro,GymnasticsTeamAllAround
2016,Rio de Janeiro,GymnasticsHorseVault
1976,Montreal,RowingCoxedEights
1996,Atlanta,FootballFootball
2012,London,Athletics4x400metresRelay
1972,Munich,Swimming400metresFreestyle
1972,Munich,Swimming4x100metresFreestyleRelay
1972,Munich,Swimming4x200metresFreestyleRelay
1972,Munich,Swimming4x100metresMedleyRelay
1998,Nagano,AlpineSkiingGiantSlalom
2014,Sochi,AlpineSkiingSuperG
2014,Sochi,AlpineSkiingGiantSlalom
1988,Seoul,Athletics4x100metresRelay
2016,Rio de Janeiro,Swimming50metresFreestyle
2016,Rio de Janeiro,Swimming4x100metresFreestyleRelay
1988,Calgary,CrossCountrySkiing5kilometres
